"","","se","2.5%","97.5%"
"(Intercept).t1",65.1,0.321,64.7,66.1
"LandUseBarren.t1",-2.15,0.335,-2.71,-1.62
"LandUseCrop.t1",0.683,0.103,0.612,0.741
"LandUseShrub/Savanna.t1",0.671,0.0775,0.584,0.737
"LandUseUrban.t1",-6.28,0.109,-6.47,-6.13
"LandUseWater.t1",-4.14,0.19,-4.38,-3.92
"LandUseWetlands.t1",-0.315,0.316,-0.755,0.0475
"Dist2Ocean.t1",1.58e-05,6.54e-06,-8.73e-06,1.86e-05
"(Intercept).t2",63,0.39,62.7,64.2
"LandUseBarren.t2",-5.02,0.436,-5.74,-4.38
"LandUseCrop.t2",0.26,0.0382,0.188,0.326
"LandUseShrub/Savanna.t2",-1.01,0.0712,-1.17,-0.927
"LandUseUrban.t2",-7.01,0.25,-7.31,-6.75
"LandUseWater.t2",-2.87,0.178,-3.19,-2.58
"LandUseWetlands.t2",-1.54,0.416,-2.15,-1.02
"Dist2Ocean.t2",1.87e-05,8.88e-06,-1.05e-05,2.55e-05
"(Intercept).t3",50.8,0.406,50.3,51.6
"LandUseBarren.t3",-1.87,0.445,-2.56,-1.36
"LandUseCrop.t3",-0.502,0.0841,-0.59,-0.457
"LandUseShrub/Savanna.t3",-1.8,0.1,-2.04,-1.71
"LandUseUrban.t3",-3.46,0.272,-3.86,-3.09
"LandUseWater.t3",5.24,0.213,4.89,5.55
"LandUseWetlands.t3",-0.998,0.426,-1.63,-0.426
"Dist2Ocean.t3",-1.31e-07,2.66e-06,-7.05e-06,1.58e-06
"(Intercept).t4",46,0.258,45.2,46.3
"LandUseBarren.t4",-0.816,0.336,-1.41,-0.379
"LandUseCrop.t4",-0.315,0.0539,-0.374,-0.272
"LandUseShrub/Savanna.t4",-1.69,0.111,-1.97,-1.6
"LandUseUrban.t4",-2.99,0.32,-3.46,-2.55
"LandUseWater.t4",6.88,0.243,6.46,7.19
"LandUseWetlands.t4",-0.859,0.391,-1.5,-0.275
"Dist2Ocean.t4",-3.34e-05,5.45e-06,-3.87e-05,-1.68e-05
"(Intercept).t5",40.7,0.171,40.5,41.2
"LandUseBarren.t5",-0.265,0.238,-0.754,0.184
"LandUseCrop.t5",-0.404,0.0281,-0.453,-0.357
"LandUseShrub/Savanna.t5",-1.51,0.108,-1.77,-1.42
"LandUseUrban.t5",-3.06,0.35,-3.57,-2.59
"LandUseWater.t5",7.47,0.258,6.99,7.77
"LandUseWetlands.t5",-0.571,0.383,-1.2,0.0522
"Dist2Ocean.t5",-3.21e-05,2.38e-06,-4.01e-05,-3.08e-05
"(Intercept).t6",39.6,0.23,39.1,39.9
"LandUseBarren.t6",0.512,0.203,0.218,1.01
"LandUseCrop.t6",-0.564,0.0409,-0.614,-0.496
"LandUseShrub/Savanna.t6",-1.38,0.108,-1.64,-1.3
"LandUseUrban.t6",-3.02,0.377,-3.68,-2.53
"LandUseWater.t6",7.35,0.25,6.85,7.65
"LandUseWetlands.t6",-0.406,0.407,-1.01,0.317
"Dist2Ocean.t6",-7.46e-05,3.07e-06,-7.79e-05,-6.68e-05
"(Intercept).t7",37.6,0.108,37.4,37.8
"LandUseBarren.t7",1.26,0.218,0.926,1.76
"LandUseCrop.t7",-0.459,0.0511,-0.507,-0.349
"LandUseShrub/Savanna.t7",-1.27,0.109,-1.53,-1.18
"LandUseUrban.t7",-2.83,0.401,-3.63,-2.36
"LandUseWater.t7",8.15,0.256,7.65,8.46
"LandUseWetlands.t7",-0.477,0.444,-1.17,0.284
"Dist2Ocean.t7",-9.22e-05,2.98e-06,-9.33e-05,-8.27e-05
"(Intercept).t8",36.5,0.0627,36.4,36.6
"LandUseBarren.t8",2.12,0.258,1.74,2.7
"LandUseCrop.t8",-0.496,0.0483,-0.543,-0.334
"LandUseShrub/Savanna.t8",-1.19,0.109,-1.46,-1.11
"LandUseUrban.t8",-2.71,0.424,-3.66,-2.23
"LandUseWater.t8",9.65,0.265,9.13,9.96
"LandUseWetlands.t8",0.0986,0.477,-0.673,0.904
"Dist2Ocean.t8",-9.7e-05,9.15e-07,-9.82e-05,-9.45e-05
"(Intercept).t9",36.2,0.198,36,36.7
"LandUseBarren.t9",1.31,0.296,0.928,1.99
"LandUseCrop.t9",-0.551,0.0508,-0.6,-0.374
"LandUseShrub/Savanna.t9",-1.17,0.108,-1.43,-1.08
"LandUseUrban.t9",-2.64,0.445,-3.69,-2.18
"LandUseWater.t9",11.4,0.269,10.9,11.7
"LandUseWetlands.t9",-0.0684,0.513,-0.836,0.865
"Dist2Ocean.t9",-0.000105,3.01e-06,-0.000112,-0.000101
"(Intercept).t10",36.4,0.312,36.2,37.2
"LandUseBarren.t10",1.25,0.329,0.771,1.93
"LandUseCrop.t10",-0.567,0.0544,-0.62,-0.386
"LandUseShrub/Savanna.t10",-1.21,0.108,-1.48,-1.12
"LandUseUrban.t10",-2.77,0.466,-3.9,-2.32
"LandUseWater.t10",12.3,0.28,11.7,12.6
"LandUseWetlands.t10",-0.0789,0.527,-0.846,0.895
"Dist2Ocean.t10",-0.000105,6.41e-06,-0.000121,-9.98e-05
