"","","se","2.5%","97.5%"
"(Intercept).t1",292,0.169,292,292
"LandUseBarren.t1",-0.62,0.0645,-0.713,-0.523
"LandUseForest.t1",-0.036,0.0749,-0.0517,-0.00679
"LandUseShrub/Savanna.t1",-0.000893,0.0655,-0.0134,0.0305
"LandUseUrban.t1",-0.233,0.128,-0.295,-0.0569
"LandUseWater.t1",-1.35,0.0813,-1.38,-1.33
"LandUseWetlands.t1",-0.168,0.0626,-0.257,-0.121
"Dist2Ocean.t1",-0.00124,0.00169,-0.00147,0.000823
"(Intercept).t2",293,0.0773,293,293
"LandUseBarren.t2",-0.709,0.0826,-0.84,-0.565
"LandUseForest.t2",-0.0662,0.0416,-0.0924,-0.0319
"LandUseShrub/Savanna.t2",-0.0199,0.0377,-0.0374,0.0266
"LandUseUrban.t2",-0.186,0.123,-0.278,0.104
"LandUseWater.t2",-1.56,0.0548,-1.59,-1.54
"LandUseWetlands.t2",-0.192,0.0582,-0.328,-0.143
"Dist2Ocean.t2",0.00434,0.000731,0.00414,0.0047
"(Intercept).t3",294,0.0755,294,294
"LandUseBarren.t3",-0.696,0.1,-0.879,-0.538
"LandUseForest.t3",-0.101,0.0432,-0.137,-0.0618
"LandUseShrub/Savanna.t3",-0.00421,0.0388,-0.0269,0.0598
"LandUseUrban.t3",-0.157,0.155,-0.282,0.238
"LandUseWater.t3",-1.75,0.0514,-1.78,-1.71
"LandUseWetlands.t3",-0.199,0.0626,-0.344,-0.135
"Dist2Ocean.t3",0.00913,0.000738,0.00868,0.00938
"(Intercept).t4",294,0.0883,294,294
"LandUseBarren.t4",-0.55,0.114,-0.804,-0.386
"LandUseForest.t4",-0.133,0.0458,-0.175,-0.0847
"LandUseShrub/Savanna.t4",0.0307,0.0418,0.00608,0.115
"LandUseUrban.t4",-0.112,0.184,-0.26,0.362
"LandUseWater.t4",-1.8,0.0521,-1.83,-1.74
"LandUseWetlands.t4",-0.18,0.0587,-0.31,-0.122
"Dist2Ocean.t4",0.012,0.000854,0.0113,0.0129
"(Intercept).t5",294,0.115,294,294
"LandUseBarren.t5",-0.4,0.12,-0.662,-0.223
"LandUseForest.t5",-0.169,0.0503,-0.215,-0.121
"LandUseShrub/Savanna.t5",0.0645,0.0446,0.0369,0.16
"LandUseUrban.t5",-0.00337,0.209,-0.168,0.53
"LandUseWater.t5",-1.67,0.0541,-1.7,-1.61
"LandUseWetlands.t5",-0.192,0.0536,-0.277,-0.135
"Dist2Ocean.t5",0.0133,0.00155,0.0116,0.0164
"(Intercept).t6",293,0.111,293,293
"LandUseBarren.t6",-0.0824,0.118,-0.32,0.11
"LandUseForest.t6",-0.209,0.0547,-0.266,-0.151
"LandUseShrub/Savanna.t6",0.0949,0.0452,0.0668,0.179
"LandUseUrban.t6",0.213,0.225,0.0292,0.784
"LandUseWater.t6",-1.27,0.0538,-1.32,-1.2
"LandUseWetlands.t6",-0.155,0.0515,-0.224,-0.0894
"Dist2Ocean.t6",0.0145,0.00196,0.0121,0.0183
"(Intercept).t7",291,0.0928,291,291
"LandUseBarren.t7",0.446,0.12,0.218,0.663
"LandUseForest.t7",-0.386,0.0608,-0.475,-0.31
"LandUseShrub/Savanna.t7",0.217,0.0382,0.18,0.256
"LandUseUrban.t7",0.969,0.238,0.764,1.56
"LandUseWater.t7",-0.119,0.0578,-0.191,-0.0362
"LandUseWetlands.t7",-0.0662,0.0566,-0.146,0.0225
"Dist2Ocean.t7",0.0121,0.00149,0.0112,0.0154
"(Intercept).t8",288,0.122,288,288
"LandUseBarren.t8",2.54,0.126,2.34,2.8
"LandUseForest.t8",-0.562,0.125,-0.908,-0.465
"LandUseShrub/Savanna.t8",0.396,0.0571,0.274,0.457
"LandUseUrban.t8",3.71,0.267,3.45,4.26
"LandUseWater.t8",2.94,0.0858,2.76,3.06
"LandUseWetlands.t8",0.401,0.0753,0.288,0.531
"Dist2Ocean.t8",0.00545,0.00168,0.00406,0.0095
"(Intercept).t9",287,0.0696,287,287
"LandUseBarren.t9",2.56,0.129,2.35,2.83
"LandUseForest.t9",-0.536,0.145,-0.958,-0.434
"LandUseShrub/Savanna.t9",0.366,0.0683,0.193,0.429
"LandUseUrban.t9",3.51,0.271,3.24,4.05
"LandUseWater.t9",3.41,0.0993,3.2,3.54
"LandUseWetlands.t9",0.429,0.0906,0.317,0.547
"Dist2Ocean.t9",0.00372,0.000706,0.00326,0.00412
"(Intercept).t10",286,0.0955,286,286
"LandUseBarren.t10",2.42,0.13,2.22,2.69
"LandUseForest.t10",-0.492,0.162,-0.96,-0.392
"LandUseShrub/Savanna.t10",0.34,0.0747,0.143,0.402
"LandUseUrban.t10",3.43,0.267,3.16,3.97
"LandUseWater.t10",3.78,0.108,3.53,3.91
"LandUseWetlands.t10",0.411,0.0889,0.297,0.525
"Dist2Ocean.t10",-0.00145,0.00178,-0.00595,-0.000138
