"","","se","2.5%","97.5%"
"(Intercept).t1",4.36,0.102,4.3,4.71
"LandUseBarren.t1",0.212,0.0705,0.0772,0.35
"LandUseForest.t1",0.0492,0.0129,0.00204,0.0641
"LandUseShrub/Savanna.t1",0.0281,0.0109,0.00049,0.0452
"LandUseUrban.t1",-0.504,0.0493,-0.621,-0.454
"LandUseWater.t1",0.0671,0.0271,0.00749,0.12
"LandUseWetlands.t1",0.214,0.064,0.0874,0.314
"Dist2Ocean.t1",7.38e-06,1.95e-06,7.14e-07,7.87e-06
"(Intercept).t2",4.28,0.0225,4.23,4.31
"LandUseBarren.t2",0.377,0.0879,0.202,0.543
"LandUseForest.t2",0.0392,0.0273,-0.0459,0.0614
"LandUseShrub/Savanna.t2",0.0415,0.0201,-0.0289,0.0591
"LandUseUrban.t2",-0.594,0.107,-0.834,-0.49
"LandUseWater.t2",0.071,0.0331,0.0115,0.134
"LandUseWetlands.t2",0.274,0.0973,0.0659,0.403
"Dist2Ocean.t2",-1.94e-06,1.07e-06,-3.48e-06,5.05e-07
"(Intercept).t3",3.95,0.203,3.57,4.23
"LandUseBarren.t3",0.453,0.101,0.273,0.664
"LandUseForest.t3",-0.0802,0.0418,-0.178,-0.0514
"LandUseShrub/Savanna.t3",0.0381,0.0296,-0.0418,0.0586
"LandUseUrban.t3",-0.743,0.134,-1.05,-0.599
"LandUseWater.t3",0.224,0.0427,0.161,0.304
"LandUseWetlands.t3",0.262,0.131,-0.0141,0.401
"Dist2Ocean.t3",-1.61e-05,2.99e-06,-1.98e-05,-9.77e-06
"(Intercept).t4",4.36,0.0125,4.33,4.39
"LandUseBarren.t4",0.515,0.0999,0.333,0.755
"LandUseForest.t4",-0.0504,0.0275,-0.136,-0.0166
"LandUseShrub/Savanna.t4",0.0448,0.0191,-0.0202,0.0615
"LandUseUrban.t4",-0.724,0.153,-1.08,-0.566
"LandUseWater.t4",0.0594,0.0438,-0.0139,0.138
"LandUseWetlands.t4",0.223,0.137,-0.0749,0.354
"Dist2Ocean.t4",-6.23e-06,6.89e-07,-6.82e-06,-4.38e-06
"(Intercept).t5",4.18,0.103,4.12,4.49
"LandUseBarren.t5",0.535,0.0991,0.372,0.778
"LandUseForest.t5",-0.0703,0.0248,-0.146,-0.0321
"LandUseShrub/Savanna.t5",0.0392,0.0167,-0.0183,0.055
"LandUseUrban.t5",-0.715,0.161,-1.09,-0.554
"LandUseWater.t5",0.07,0.0447,-0.00738,0.151
"LandUseWetlands.t5",0.27,0.14,-0.0452,0.391
"Dist2Ocean.t5",-1.81e-06,1.49e-06,-6.49e-06,-1.14e-06
"(Intercept).t6",4.31,0.124,4.22,4.64
"LandUseBarren.t6",0.533,0.102,0.366,0.772
"LandUseForest.t6",-0.0761,0.0222,-0.122,-0.0353
"LandUseShrub/Savanna.t6",0.0327,0.0147,-0.00701,0.0493
"LandUseUrban.t6",-0.719,0.168,-1.11,-0.551
"LandUseWater.t6",0.0644,0.0447,-0.0108,0.151
"LandUseWetlands.t6",0.261,0.142,-0.0574,0.381
"Dist2Ocean.t6",-3.39e-06,1.81e-06,-8.37e-06,-2.23e-06
"(Intercept).t7",4.72,0.0697,4.65,4.87
"LandUseBarren.t7",0.495,0.101,0.341,0.735
"LandUseForest.t7",-0.0873,0.0195,-0.124,-0.0491
"LandUseShrub/Savanna.t7",0.041,0.013,0.0104,0.0602
"LandUseUrban.t7",-0.737,0.173,-1.14,-0.56
"LandUseWater.t7",0.0852,0.0425,0.0282,0.174
"LandUseWetlands.t7",0.268,0.148,-0.0636,0.399
"Dist2Ocean.t7",-5.85e-06,1.04e-06,-7.74e-06,-4.68e-06
"(Intercept).t8",5.04,0.0605,4.94,5.14
"LandUseBarren.t8",0.673,0.099,0.527,0.912
"LandUseForest.t8",-0.0989,0.0192,-0.135,-0.0622
"LandUseShrub/Savanna.t8",0.0471,0.0133,0.018,0.0685
"LandUseUrban.t8",-0.797,0.178,-1.21,-0.611
"LandUseWater.t8",0.0843,0.0406,0.03,0.173
"LandUseWetlands.t8",0.273,0.151,-0.0745,0.414
"Dist2Ocean.t8",-6.48e-06,8.02e-07,-7.49e-06,-5.11e-06
"(Intercept).t9",5.38,0.0366,5.31,5.44
"LandUseBarren.t9",0.825,0.104,0.662,1.07
"LandUseForest.t9",-0.094,0.0201,-0.133,-0.0574
"LandUseShrub/Savanna.t9",0.0577,0.0138,0.0278,0.0815
"LandUseUrban.t9",-0.854,0.179,-1.27,-0.667
"LandUseWater.t9",0.129,0.0405,0.0754,0.219
"LandUseWetlands.t9",0.384,0.154,0.0346,0.549
"Dist2Ocean.t9",-6.5e-06,8e-07,-7.3e-06,-4.85e-06
"(Intercept).t10",5.55,0.0844,5.38,5.66
"LandUseBarren.t10",0.729,0.112,0.567,1.01
"LandUseForest.t10",-0.105,0.0218,-0.145,-0.0686
"LandUseShrub/Savanna.t10",0.0691,0.0151,0.0367,0.0965
"LandUseUrban.t10",-0.913,0.182,-1.34,-0.726
"LandUseWater.t10",0.189,0.0414,0.132,0.279
"LandUseWetlands.t10",0.357,0.157,-0.00425,0.536
"Dist2Ocean.t10",-4.32e-06,7.24e-07,-4.95e-06,-2.74e-06
