GridCell,lat,long,Dist2Ocean
1.0,28.705856323242188,-96.50558471679688,74608.65957175629
2.0,28.705856323242188,-96.49540710449219,73613.13648856667
3.0,28.705856323242188,-96.48523712158203,72618.36787610443
4.0,28.705856323242188,-96.47505950927734,71622.86118577255
5.0,28.705856323242188,-96.46488952636719,70628.10890882823
6.0,28.705856323242188,-96.45471954345703,69633.3647628085
7.0,28.705856323242188,-96.44454193115234,68637.88248965821
8.0,28.705856323242188,-96.43437194824219,67643.1545440276
9.0,28.705856323242188,-96.4241943359375,66647.6884383383
10.0,28.705856323242188,-96.41402435302734,65652.97660300336
11.0,28.705856323242188,-96.40385437011719,64658.27278602869
12.0,28.705856323242188,-96.3936767578125,63662.83075948984
13.0,28.705856323242188,-96.38350677490234,62668.14291769986
14.0,28.705856323242188,-96.37333679199219,61673.46302674299
15.0,28.705856323242188,-96.3631591796875,60678.044876567204
16.0,28.705856323242188,-96.35298919677734,59683.3808256906
17.0,28.705856323242188,-96.34281158447266,58687.978482408216
18.0,28.705856323242188,-96.3326416015625,57693.33018154099
19.0,28.705856323242188,-96.32247161865234,56698.68971896581
20.0,28.705856323242188,-96.31229400634766,55703.31091408522
21.0,28.705856323242188,-96.3021240234375,54708.68606643213
22.0,28.705856323242188,-96.29194641113281,53713.3228431239
23.0,28.705856323242188,-96.28177642822266,52718.713520333484
24.0,28.705856323242188,-96.2716064453125,51724.11192330845
25.0,28.705856323242188,-96.26142883300781,50728.77190048374
26.0,28.705856323242188,-96.25125885009766,49734.1856932512
27.0,28.705856323242188,-96.2410888671875,48739.607144279216
28.0,28.705856323242188,-96.23091125488281,47744.290119218
29.0,28.705856323242188,-96.22074127197266,46749.726824982405
30.0,28.705856323242188,-96.21056365966797,45754.42502104512
31.0,28.705856323242188,-96.20039367675781,44759.87689150072
32.0,28.705856323242188,-96.19022369384766,43765.336307712576
33.0,28.705856323242188,-96.18004608154297,42770.057163687896
34.0,28.705856323242188,-96.16987609863281,41775.531609550184
35.0,28.705856323242188,-96.15969848632812,40780.267461401374
36.0,28.705856323242188,-96.14952850341797,39785.75684688374
37.0,28.705856323242188,-96.13935852050781,38791.25366563044
38.0,28.705856323242188,-96.12918090820312,37796.011839585226
39.0,28.705856323242188,-96.11901092529297,36801.52346292514
40.0,28.705856323242188,-96.10884094238281,35807.042452046466
41.0,28.705856323242188,-96.09866333007812,34811.82274544897
42.0,28.705856323242188,-96.08849334716797,33817.35640415013
43.0,28.705856323242188,-96.07831573486328,32822.15133309547
44.0,28.705856323242188,-96.06814575195312,31827.69957135975
45.0,28.705856323242188,-96.05797576904297,30833.255062936587
46.0,28.705856323242188,-96.04779815673828,29838.071773585594
47.0,28.705856323242188,-96.03762817382812,28843.641709728323
48.0,28.705856323242188,-96.02745056152344,27848.47283074273
49.0,28.705856323242188,-96.01728057861328,26854.057121445334
50.0,28.705856323242188,-96.00711059570312,25859.648553004827
51.0,28.705856323242188,-95.99693298339844,24864.50111801887
52.0,28.705856323242188,-95.98676300048828,23870.106769156995
53.0,28.705856323242188,-95.97659301757812,22875.719493685887
54.0,28.705856323242188,-95.96641540527344,21880.59330010635
55.0,28.705856323242188,-95.95624542236328,20886.220109241873
56.0,28.705856323242188,-95.9460678100586,19891.10796580539
57.0,28.705856323242188,-95.93589782714844,18896.748769558042
58.0,28.705856323242188,-95.92572784423828,17902.39653426704
59.0,28.705856323242188,-95.9155502319336,16907.30529459553
60.0,28.705856323242188,-95.90538024902344,15912.96691896528
61.0,28.705856323242188,-95.89520263671875,14917.88950432743
62.0,28.705856323242188,-95.8850326538086,13923.564898378867
63.0,28.705856323242188,-95.87486267089844,12929.247140964622
64.0,28.705856323242188,-95.86468505859375,11934.190292489116
65.0,28.705856323242188,-95.8545150756836,10939.886169815381
66.0,28.705856323242188,-95.84434509277344,9945.58882823388
67.0,28.705856323242188,-95.83416748046875,8950.55234338729
68.0,28.705856323242188,-95.8239974975586,7956.268501610217
69.0,28.705856323242188,-95.8138198852539,6961.245481681934
70.0,28.705856323242188,-95.80364990234375,5966.975049750312
71.0,28.705856323242188,-95.7934799194336,4972.711286509077
72.0,28.705856323242188,-95.7833023071289,3977.7082926672406
73.0,28.705856323242188,-95.77313232421875,2983.4578043504507
74.0,28.705856323242188,-95.76295471191406,1988.4680503828122
75.0,28.705856323242188,-95.7527847290039,994.2307470408554
76.0,28.71477508544922,-96.50558471679688,74612.04499162281
77.0,28.71477508544922,-96.49540710449219,73616.65291154016
78.0,28.71477508544922,-96.48523712158203,72622.0176286351
79.0,28.71477508544922,-96.47505950927734,71626.64689553512
80.0,28.71477508544922,-96.46488952636719,70632.0331064353
81.0,28.71477508544922,-96.45471954345703,69637.43019263133
82.0,28.71477508544922,-96.44454193115234,68642.09212461057
83.0,28.71477508544922,-96.43437194824219,67647.51126725752
84.0,28.71477508544922,-96.4241943359375,66652.1954877964
85.0,28.71477508544922,-96.41402435302734,65657.63713336313
86.0,28.71477508544922,-96.40385437011719,64663.09021421026
87.0,28.71477508544922,-96.3936767578125,63667.80878434749
88.0,28.71477508544922,-96.38350677490234,62673.285167749826
89.0,28.71477508544922,-96.37333679199219,61678.77343084256
90.0,28.71477508544922,-96.3631591796875,60683.52768760918
91.0,28.71477508544922,-96.35298919677734,59689.04024429005
92.0,28.71477508544922,-96.34281158447266,58693.81919455748
93.0,28.71477508544922,-96.3326416015625,57699.356836787505
94.0,28.71477508544922,-96.32247161865234,56704.907352738745
95.0,28.71477508544922,-96.31229400634766,55709.72498080686
96.0,28.71477508544922,-96.3021240234375,54715.30201549124
97.0,28.71477508544922,-96.29194641113281,53720.146738022675
98.0,28.71477508544922,-96.28177642822266,52725.751447171875
99.0,28.71477508544922,-96.2716064453125,51731.37048165739
100.0,28.71477508544922,-96.26142883300781,50736.258251444415
101.0,28.71477508544922,-96.25125885009766,49741.90707574709
102.0,28.71477508544922,-96.2410888671875,48747.57141859621
103.0,28.71477508544922,-96.23091125488281,47752.50582840355
104.0,28.71477508544922,-96.22074127197266,46758.202668239515
105.0,28.71477508544922,-96.21056365966797,45763.170667911065
106.0,28.71477508544922,-96.20039367675781,44768.902237946655
107.0,28.71477508544922,-96.19022369384766,43774.65213617059
108.0,28.71477508544922,-96.18004608154297,42779.6752394482
109.0,28.71477508544922,-96.16987609863281,41785.46406858724
110.0,28.71477508544922,-96.15969848632812,40790.5278164402
111.0,28.71477508544922,-96.14952850341797,39796.359113560444
112.0,28.71477508544922,-96.13935852050781,38802.213196043056
113.0,28.71477508544922,-96.12918090820312,37807.345483785604
114.0,28.71477508544922,-96.11901092529297,36813.24885270031
115.0,28.71477508544922,-96.10884094238281,35819.1789840072
116.0,28.71477508544922,-96.09866333007812,34824.3918097014
117.0,28.71477508544922,-96.08849334716797,33830.38059961786
118.0,28.71477508544922,-96.07831573486328,32835.65602585219
119.0,28.71477508544922,-96.06814575195312,31841.71174929549
120.0,28.71477508544922,-96.05797576904297,30847.80470691309
121.0,28.71477508544922,-96.04779815673828,29853.19229979858
122.0,28.71477508544922,-96.03762817382812,28859.3690872709
123.0,28.71477508544922,-96.02745056152344,27864.847838205515
124.0,28.71477508544922,-96.01728057861328,26871.124037750116
125.0,28.71477508544922,-96.00711059570312,25877.457281777
126.0,28.71477508544922,-95.99693298339844,24883.108161824417
127.0,28.71477508544922,-95.98676300048828,23889.574410365298
128.0,28.71477508544922,-95.97659301757812,22896.11877372707
129.0,28.71477508544922,-95.96641540527344,21902.00571905772
130.0,28.71477508544922,-95.95624542236328,20908.73715823872
131.0,28.71477508544922,-95.9460678100586,19914.83661293859
132.0,28.71477508544922,-95.93589782714844,18921.81086995777
133.0,28.71477508544922,-95.92572784423828,17928.935199889715
134.0,28.71477508544922,-95.9155502319336,16935.490109976963
135.0,28.71477508544922,-95.90538024902344,15942.996454092583
136.0,28.71477508544922,-95.89520263671875,14950.00493806102
137.0,28.71477508544922,-95.8850326538086,13958.055393619727
138.0,28.71477508544922,-95.87486267089844,12966.470026466293
139.0,28.71477508544922,-95.86468505859375,11974.594235675177
140.0,28.71477508544922,-95.8545150756836,10984.035903878153
141.0,28.71477508544922,-95.84434509277344,9994.219858065373
142.0,28.71477508544922,-95.83416748046875,9004.647237305848
143.0,28.71477508544922,-95.8239974975586,8017.163774010632
144.0,28.71477508544922,-95.8138198852539,7030.8534267876685
145.0,28.71477508544922,-95.80364990234375,6048.126835514644
146.0,28.71477508544922,-95.7934799194336,5069.893709496008
147.0,28.71477508544922,-95.7833023071289,4098.643453664289
148.0,28.71477508544922,-95.77313232421875,3142.9789953368263
149.0,28.71477508544922,-95.76295471191406,2220.746618578014
150.0,28.71477508544922,-95.7527847290039,1402.3019114409685
151.0,28.71477508544922,-95.74261474609375,988.9557243920666
152.0,28.71477508544922,-95.73243713378906,988.9492329828948
153.0,28.72369384765625,-96.50558471679688,74628.54324995908
154.0,28.72369384765625,-96.49540710449219,73633.45931235154
155.0,28.72369384765625,-96.48523712158203,72639.13921068973
156.0,28.72369384765625,-96.47505950927734,71644.09147348168
157.0,28.72369384765625,-96.46488952636719,70649.8083303925
158.0,28.72369384765625,-96.45471954345703,69655.54428972446
159.0,28.72369384765625,-96.44454193115234,68660.55394324704
160.0,28.72369384765625,-96.43437194824219,67666.32951306087
161.0,28.72369384765625,-96.4241943359375,66671.37980267403
162.0,28.72369384765625,-96.41402435302734,65677.19703577984
163.0,28.72369384765625,-96.40385437011719,64683.03594472783
164.0,28.72369384765625,-96.3936767578125,63688.15136456244
165.0,28.72369384765625,-96.38350677490234,62694.03553439477
166.0,28.72369384765625,-96.37333679199219,61699.94335669149
167.0,28.72369384765625,-96.3631591796875,60705.12985238795
168.0,28.72369384765625,-96.35298919677734,59711.08729670838
169.0,28.72369384765625,-96.34281158447266,58716.325110264544
170.0,28.72369384765625,-96.3326416015625,57722.33560761983
171.0,28.72369384765625,-96.32247161865234,56728.374062305455
172.0,28.72369384765625,-96.31229400634766,55733.695903521366
173.0,28.72369384765625,-96.3021240234375,54739.79353558261
174.0,28.72369384765625,-96.29194641113281,53745.17695150368
175.0,28.72369384765625,-96.28177642822266,52751.33864220881
176.0,28.72369384765625,-96.2716064453125,51757.53441934252
177.0,28.72369384765625,-96.26142883300781,50763.02030941523
178.0,28.72369384765625,-96.25125885009766,49769.288988307286
179.0,28.72369384765625,-96.2410888671875,48775.59671504219
180.0,28.72369384765625,-96.23091125488281,47781.20001640124
181.0,28.72369384765625,-96.22074127197266,46787.591845343704
182.0,28.72369384765625,-96.21056365966797,45793.283707000046
183.0,28.72369384765625,-96.20039367675781,44799.768810913396
184.0,28.72369384765625,-96.19022369384766,43806.30450045416
185.0,28.72369384765625,-96.18004608154297,42812.14852556353
186.0,28.72369384765625,-96.16987609863281,41818.79463500384
187.0,28.72369384765625,-96.15969848632812,40824.75600834803
188.0,28.72369384765625,-96.14952850341797,39831.52689697411
189.0,28.72369384765625,-96.13935852050781,38838.366462294915
190.0,28.72369384765625,-96.12918090820312,37844.534530324665
191.0,28.72369384765625,-96.11901092529297,36851.526425362594
192.0,28.72369384765625,-96.10884094238281,35858.6030271547
193.0,28.72369384765625,-96.09866333007812,34865.02614599895
194.0,28.72369384765625,-96.08849334716797,33872.292765773476
195.0,28.72369384765625,-96.07831573486328,32878.92167718392
196.0,28.72369384765625,-96.06814575195312,31886.41147716921
197.0,28.72369384765625,-96.05797576904297,30894.027942239325
198.0,28.72369384765625,-96.04779815673828,29901.038623382985
199.0,28.72369384765625,-96.03762817382812,28908.94576512701
200.0,28.72369384765625,-96.02745056152344,27916.276297749235
201.0,28.72369384765625,-96.01728057861328,26924.536182092463
202.0,28.72369384765625,-96.00711059570312,25933.00161970921
203.0,28.72369384765625,-95.99693298339844,24940.952676968747
204.0,28.72369384765625,-95.98676300048828,23949.904252339442
205.0,28.72369384765625,-95.97659301757812,22959.144898089962
206.0,28.72369384765625,-95.96641540527344,21967.969865660332
207.0,28.72369384765625,-95.95624542236328,20977.91052403139
208.0,28.72369384765625,-95.9460678100586,19987.535790530103
209.0,28.72369384765625,-95.93589782714844,18998.396109546196
210.0,28.72369384765625,-95.92572784423828,18009.828868833887
211.0,28.72369384765625,-95.9155502319336,17021.191735597466
212.0,28.72369384765625,-95.90538024902344,16034.089707665878
213.0,28.72369384765625,-95.89520263671875,15047.196822761067
214.0,28.72369384765625,-95.8850326538086,14062.190889260391
215.0,28.72369384765625,-95.87486267089844,13078.58924950954
216.0,28.72369384765625,-95.86468505859375,12095.99693776557
217.0,28.72369384765625,-95.8545150756836,11116.347999978292
218.0,28.72369384765625,-95.84434509277344,10139.542590481171
219.0,28.72369384765625,-95.83416748046875,9165.75930127647
220.0,28.72369384765625,-95.8239974975586,8197.792124996378
221.0,28.72369384765625,-95.8138198852539,7236.229856730352
222.0,28.72369384765625,-95.80364990234375,6285.780279474219
223.0,28.72369384765625,-95.7934799194336,5351.254300889802
224.0,28.72369384765625,-95.7833023071289,4442.03960823916
225.0,28.72369384765625,-95.77313232421875,3579.3467886211542
226.0,28.72369384765625,-95.76295471191406,2804.5539779250553
227.0,28.72369384765625,-95.7527847290039,2213.7052172306035
228.0,28.72369384765625,-95.74261474609375,1977.9126031833855
229.0,28.72369384765625,-95.73243713378906,1402.2244275809458
230.0,28.72369384765625,-95.7222671508789,988.9439272180895
231.0,28.73261260986328,-96.50558471679688,74658.14569641028
232.0,28.73261260986328,-96.49540710449219,73663.5466380942
233.0,28.73261260986328,-96.48523712158203,72669.72314414075
234.0,28.73261260986328,-96.47505950927734,71675.18499132234
235.0,28.73261260986328,-96.46488952636719,70681.42417620643
236.0,28.73261260986328,-96.45471954345703,69687.69614509458
237.0,28.73261260986328,-96.44454193115234,68693.2565012682
238.0,28.73261260986328,-96.43437194824219,67699.59726953966
239.0,28.73261260986328,-96.4241943359375,66705.22876783232
240.0,28.73261260986328,-96.41402435302734,65711.64305440795
241.0,28.73261260986328,-96.40385437011719,64718.096040143544
242.0,28.73261260986328,-96.3936767578125,63723.843836390595
243.0,28.73261260986328,-96.38350677490234,62730.37858037429
244.0,28.73261260986328,-96.37333679199219,61736.956541839165
245.0,28.73261260986328,-96.3631591796875,60742.83422657558
246.0,28.73261260986328,-96.35298919677734,59749.50389660174
247.0,28.73261260986328,-96.34281158447266,58755.47713434357
248.0,28.73261260986328,-96.3326416015625,57762.246318872465
249.0,28.73261260986328,-96.32247161865234,56769.0685142092
250.0,28.73261260986328,-96.31229400634766,55775.201104054795
251.0,28.73261260986328,-96.3021240234375,54782.13671130859
252.0,28.73261260986328,-96.29194641113281,53788.38812757777
253.0,28.73261260986328,-96.28177642822266,52795.4481977902
254.0,28.73261260986328,-96.2716064453125,51802.575153909944
255.0,28.73261260986328,-96.26142883300781,50809.02768025497
256.0,28.73261260986328,-96.25125885009766,49816.299077072195
257.0,28.73261260986328,-96.2410888671875,48823.648555123276
258.0,28.73261260986328,-96.23091125488281,47830.33589579763
259.0,28.73261260986328,-96.22074127197266,46837.85505927385
260.0,28.73261260986328,-96.21056365966797,45844.72210469946
261.0,28.73261260986328,-96.20039367675781,44852.431591745975
262.0,28.73261260986328,-96.19022369384766,43860.245117341176
263.0,28.73261260986328,-96.18004608154297,42867.425158654696
264.0,28.73261260986328,-96.16987609863281,41875.46751691184
265.0,28.73261260986328,-96.15969848632812,40882.89191861096
266.0,28.73261260986328,-96.14952850341797,39891.19530981125
267.0,28.73261260986328,-96.13935852050781,38899.64330455814
268.0,28.73261260986328,-96.12918090820312,37907.502970646
269.0,28.73261260986328,-96.11901092529297,36916.27367699826
270.0,28.73261260986328,-96.10884094238281,35925.2248388038
271.0,28.73261260986328,-96.09866333007812,34933.62791419125
272.0,28.73261260986328,-96.08849334716797,33942.98598984769
273.0,28.73261260986328,-96.07831573486328,32951.831160247355
274.0,28.73261260986328,-96.06814575195312,31961.670106097015
275.0,28.73261260986328,-96.05797576904297,30971.783065074505
276.0,28.73261260986328,-96.04779815673828,29981.45417838071
277.0,28.73261260986328,-96.03762817382812,28992.198212142106
278.0,28.73261260986328,-96.02745056152344,28002.565195962918
279.0,28.73261260986328,-96.01728057861328,27014.078094309953
280.0,28.73261260986328,-96.00711059570312,26026.040092596173
281.0,28.73261260986328,-95.99693298339844,25037.762848997078
282.0,28.73261260986328,-95.98676300048828,24050.7889361198
283.0,28.73261260986328,-95.97659301757812,23064.448567602558
284.0,28.73261260986328,-95.96641540527344,22078.08656551622
285.0,28.73261260986328,-95.95624542236328,21093.281356639833
286.0,28.73261260986328,-95.9460678100586,20108.67454157528
287.0,28.73261260986328,-95.93589782714844,19125.88573673129
288.0,28.73261260986328,-95.92572784423828,18144.35074255377
289.0,28.73261260986328,-95.9155502319336,17163.548805102
290.0,28.73261260986328,-95.90538024902344,16185.215889216232
291.0,28.73261260986328,-95.89520263671875,15208.21777051109
292.0,28.73261260986328,-95.8850326538086,14234.443190949358
293.0,28.73261260986328,-95.87486267089844,13263.705886414875
294.0,28.73261260986328,-95.86468505859375,12295.999721449649
