#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 02 03 11 00  14  6.7  8.1 99.00 99.00 99.00 999 1023.2  12.3  17.9  11.3 99.0 99.00
2017 02 03 11 30  26  7.0  8.6 99.00 99.00 99.00 999 1023.4  12.0  17.9  11.3 99.0 99.00
2017 02 03 12 00  32  6.9  8.5 99.00 99.00 99.00 999 1024.0  12.1  17.9  11.1 99.0 99.00
2017 02 03 12 30  31  6.3  7.8 99.00 99.00 99.00 999 1024.2  12.3  17.9  11.2 99.0 99.00
2017 02 03 13 00  30  7.2  9.0 99.00 99.00 99.00 999 1024.4  12.2  17.9  10.6 99.0 99.00
2017 02 03 13 30  31  7.8  9.6 99.00 99.00 99.00 999 1025.0  11.9  17.9  10.6 99.0 99.00
2017 02 03 14 00  38  8.1  9.6 99.00 99.00 99.00 999 1025.3  11.9  17.8  10.0 99.0 99.00
2017 02 03 14 30  28  8.5 10.4 99.00 99.00 99.00 999 1026.3  11.8  17.8  10.2 99.0 99.00
2017 02 03 15 00  33  8.3  9.9 99.00 99.00 99.00 999 1026.2  11.5  17.8   9.7 99.0 99.00
2017 02 03 15 30  37  8.4  9.9 99.00 99.00 99.00 999 1026.5  11.7  17.8  10.2 99.0 99.00
2017 02 03 16 00  41  7.5  9.2 99.00 99.00 99.00 999 1027.1  11.8  17.8  10.5 99.0 99.00
2017 02 03 16 30  43  7.8  9.6 99.00 99.00 99.00 999 1026.9  11.8  17.8  10.0 99.0 99.00
2017 02 03 17 00  44  6.6  7.8 99.00 99.00 99.00 999 1026.8  12.0  17.8   9.9 99.0 99.00
2017 02 03 17 30  42  6.4  7.6 99.00 99.00 99.00 999 1026.8  12.2  17.8  10.3 99.0 99.00
2017 02 03 18 00  40  6.8  8.1 99.00 99.00 99.00 999 1026.5  12.1  17.8   9.8 99.0 99.00
2017 02 03 18 30  38  6.3  7.8 99.00 99.00 99.00 999 1026.3  12.2  17.9  10.0 99.0 99.00
2017 02 03 19 00  35  6.9  8.5 99.00 99.00 99.00 999 1025.6  12.3  17.9   9.3 99.0 99.00
2017 02 03 19 30  33  6.6  7.8 99.00 99.00 99.00 999 1025.6  12.6  17.9   9.1 99.0 99.00
2017 02 03 20 00  37  7.3  9.0 99.00 99.00 99.00 999 1025.2  13.1  17.9   9.5 99.0 99.00
2017 02 03 20 30  36  7.9  9.9 99.00 99.00 99.00 999 1024.8  13.4  17.9   9.9 99.0 99.00
2017 02 03 21 00  34  8.1  9.6 99.00 99.00 99.00 999 1024.4  13.4  17.9   8.8 99.0 99.00
2017 02 03 21 30  36  6.9  8.0 99.00 99.00 99.00 999 1024.5  13.5  17.8   8.8 99.0 99.00
