,mean,median
Buoy42019,1.04375461,1.077089437
Buoy42035,0.574861412,0.557716878
Buoy42043,0.465392512,0.494600423
Buoymgpt2,0.75568041,0.80084432
Buoysgnt2,0.586969848,0.709450277
Buoy42002,3.02246273,3.084794108
Buoyeptt2,0.793249896,0.853859456
Buoygnjt2,,
Buoygrrt2,0.102409395,0.091650391
Buoyhist2,0.350834218,0.313808187
Buoyrlot2,0.467481792,0.287430827
,,
Mean,0.816309682,0.82712443
Mean excluding 42002,0.571181566,0.576272244
